[2025-09-18 11:43:10,977][contrast_train.py][line:239][INFO] Arguments: Namespace(batchSize=32, dataset='/data/cjj/projects/pointnet.pytorch/data/modelnet40_ply_hdf5_2048', exp_name='GroupContrast', feature_transform=False, gamma=0.5, gpu_id='1', graphcut_c=0.5, graphcut_k=8, graphcut_min_size=20, lambda_con=0.1, lambda_region=0.1, lr=0.001, nepoch=200, no_jitter=False, npoints=1024, rotation_mode='xyz', save_dir='/data/cjj/projects/pointnet.pytorch/Contrast_exp/experiment', seed=42, step_size=20, temperature=0.07, use_cpu=False, use_graphcut_segmentation=True, use_region_contrast=True, workers=4)
[2025-09-18 11:43:10,977][contrast_train.py][line:240][INFO] model params: 1.909425 M
[2025-09-18 11:43:10,977][contrast_train.py][line:241][INFO] Network Structure: ContrastPointNet(
  (feat): PointNetfeat(
    (stn): STN3d(
      (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=9, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (fc1): Linear(in_features=1024, out_features=512, bias=True)
  (fc2): Linear(in_features=512, out_features=256, bias=True)
  (fc3): Linear(in_features=256, out_features=40, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dropout): Dropout(p=0.3, inplace=False)
  (proj): ProjectionHead(
    (net): Sequential(
      (0): Linear(in_features=1024, out_features=256, bias=True)
      (1): ReLU(inplace=True)
      (2): Linear(in_features=256, out_features=128, bias=True)
    )
  )
)
[2025-09-18 11:46:57,505][contrast_train.py][line:330][INFO] Epoch [001/200] Train Loss: 3.6449 (CE 2.9418, Con 2.3549, RegionCon 4.6756, Reg 0.000000) | Train Acc: 0.1921 | Test Acc: 0.1750 | LR: 0.001000
[2025-09-18 12:36:07,623][contrast_train.py][line:330][INFO] Epoch [014/200] Train Loss: 1.9036 (CE 1.4674, Con 0.4700, RegionCon 3.8920, Reg 0.000000) | Train Acc: 0.5616 | Test Acc: 0.5462 | LR: 0.001000
[2025-09-18 12:39:54,347][contrast_train.py][line:330][INFO] Epoch [015/200] Train Loss: 1.8501 (CE 1.4157, Con 0.4665, RegionCon 3.8772, Reg 0.000000) | Train Acc: 0.5798 | Test Acc: 0.5600 | LR: 0.001000
[2025-09-18 12:43:41,548][contrast_train.py][line:330][INFO] Epoch [016/200] Train Loss: 1.8292 (CE 1.3970, Con 0.4510, RegionCon 3.8707, Reg 0.000000) | Train Acc: 0.5836 | Test Acc: 0.5308 | LR: 0.001000
[2025-09-18 12:47:27,574][contrast_train.py][line:330][INFO] Epoch [017/200] Train Loss: 1.7884 (CE 1.3612, Con 0.4285, RegionCon 3.8437, Reg 0.000000) | Train Acc: 0.5923 | Test Acc: 0.5462 | LR: 0.001000
[2025-09-18 12:51:15,086][contrast_train.py][line:330][INFO] Epoch [018/200] Train Loss: 1.7797 (CE 1.3518, Con 0.4397, RegionCon 3.8392, Reg 0.000000) | Train Acc: 0.5917 | Test Acc: 0.5332 | LR: 0.001000
[2025-09-18 12:55:00,512][contrast_train.py][line:330][INFO] Epoch [019/200] Train Loss: 1.7358 (CE 1.3101, Con 0.4198, RegionCon 3.8375, Reg 0.000000) | Train Acc: 0.6032 | Test Acc: 0.5810 | LR: 0.001000
[2025-09-18 12:58:46,119][contrast_train.py][line:330][INFO] Epoch [020/200] Train Loss: 1.7282 (CE 1.3032, Con 0.4241, RegionCon 3.8259, Reg 0.000000) | Train Acc: 0.6098 | Test Acc: 0.5466 | LR: 0.000500
[2025-09-18 13:02:32,099][contrast_train.py][line:330][INFO] Epoch [021/200] Train Loss: 1.6028 (CE 1.1880, Con 0.3203, RegionCon 3.8275, Reg 0.000000) | Train Acc: 0.6447 | Test Acc: 0.5859 | LR: 0.000500
[2025-09-18 13:06:18,003][contrast_train.py][line:330][INFO] Epoch [022/200] Train Loss: 1.5579 (CE 1.1442, Con 0.3065, RegionCon 3.8303, Reg 0.000000) | Train Acc: 0.6485 | Test Acc: 0.6240 | LR: 0.000500
[2025-09-18 13:10:03,882][contrast_train.py][line:330][INFO] Epoch [023/200] Train Loss: 1.5482 (CE 1.1364, Con 0.3079, RegionCon 3.8105, Reg 0.000000) | Train Acc: 0.6638 | Test Acc: 0.5985 | LR: 0.000500
[2025-09-18 13:13:49,606][contrast_train.py][line:330][INFO] Epoch [024/200] Train Loss: 1.5230 (CE 1.1117, Con 0.2951, RegionCon 3.8175, Reg 0.000000) | Train Acc: 0.6556 | Test Acc: 0.6078 | LR: 0.000500
[2025-09-18 13:17:35,394][contrast_train.py][line:330][INFO] Epoch [025/200] Train Loss: 1.5220 (CE 1.1119, Con 0.2910, RegionCon 3.8106, Reg 0.000000) | Train Acc: 0.6562 | Test Acc: 0.6037 | LR: 0.000500
[2025-09-18 13:21:20,758][contrast_train.py][line:330][INFO] Epoch [026/200] Train Loss: 1.5048 (CE 1.0943, Con 0.3000, RegionCon 3.8057, Reg 0.000000) | Train Acc: 0.6620 | Test Acc: 0.5778 | LR: 0.000500
[2025-09-18 13:25:07,010][contrast_train.py][line:330][INFO] Epoch [027/200] Train Loss: 1.5024 (CE 1.0936, Con 0.2785, RegionCon 3.8098, Reg 0.000000) | Train Acc: 0.6713 | Test Acc: 0.6236 | LR: 0.000500
[2025-09-18 13:28:53,381][contrast_train.py][line:330][INFO] Epoch [028/200] Train Loss: 1.4806 (CE 1.0727, Con 0.2808, RegionCon 3.7980, Reg 0.000000) | Train Acc: 0.6740 | Test Acc: 0.6216 | LR: 0.000500
[2025-09-18 13:32:38,556][contrast_train.py][line:330][INFO] Epoch [029/200] Train Loss: 1.4728 (CE 1.0653, Con 0.2692, RegionCon 3.8059, Reg 0.000000) | Train Acc: 0.6754 | Test Acc: 0.6471 | LR: 0.000500
[2025-09-18 13:36:24,639][contrast_train.py][line:330][INFO] Epoch [030/200] Train Loss: 1.4352 (CE 1.0290, Con 0.2707, RegionCon 3.7912, Reg 0.000000) | Train Acc: 0.6768 | Test Acc: 0.5960 | LR: 0.000500
[2025-09-18 13:40:14,100][contrast_train.py][line:330][INFO] Epoch [031/200] Train Loss: 1.4407 (CE 1.0348, Con 0.2676, RegionCon 3.7911, Reg 0.000000) | Train Acc: 0.6786 | Test Acc: 0.6430 | LR: 0.000500
[2025-09-18 13:44:00,240][contrast_train.py][line:330][INFO] Epoch [032/200] Train Loss: 1.4340 (CE 1.0271, Con 0.2829, RegionCon 3.7859, Reg 0.000000) | Train Acc: 0.6874 | Test Acc: 0.6049 | LR: 0.000500
[2025-09-18 13:47:45,933][contrast_train.py][line:330][INFO] Epoch [033/200] Train Loss: 1.4397 (CE 1.0326, Con 0.2838, RegionCon 3.7874, Reg 0.000000) | Train Acc: 0.6809 | Test Acc: 0.6199 | LR: 0.000500
[2025-09-18 13:51:31,486][contrast_train.py][line:330][INFO] Epoch [034/200] Train Loss: 1.3941 (CE 0.9879, Con 0.2631, RegionCon 3.7993, Reg 0.000000) | Train Acc: 0.6949 | Test Acc: 0.6471 | LR: 0.000500
[2025-09-18 13:55:17,593][contrast_train.py][line:330][INFO] Epoch [035/200] Train Loss: 1.3997 (CE 0.9959, Con 0.2482, RegionCon 3.7898, Reg 0.000000) | Train Acc: 0.6929 | Test Acc: 0.6467 | LR: 0.000500
[2025-09-18 13:59:03,858][contrast_train.py][line:330][INFO] Epoch [036/200] Train Loss: 1.4015 (CE 0.9968, Con 0.2632, RegionCon 3.7838, Reg 0.000000) | Train Acc: 0.6924 | Test Acc: 0.6613 | LR: 0.000500
[2025-09-18 14:02:49,357][contrast_train.py][line:330][INFO] Epoch [037/200] Train Loss: 1.3745 (CE 0.9705, Con 0.2474, RegionCon 3.7928, Reg 0.000000) | Train Acc: 0.6980 | Test Acc: 0.6402 | LR: 0.000500
[2025-09-18 14:06:34,861][contrast_train.py][line:330][INFO] Epoch [038/200] Train Loss: 1.3768 (CE 0.9722, Con 0.2619, RegionCon 3.7842, Reg 0.000000) | Train Acc: 0.7033 | Test Acc: 0.6677 | LR: 0.000500
[2025-09-18 14:10:20,576][contrast_train.py][line:330][INFO] Epoch [039/200] Train Loss: 1.3649 (CE 0.9610, Con 0.2499, RegionCon 3.7894, Reg 0.000000) | Train Acc: 0.7077 | Test Acc: 0.6317 | LR: 0.000500
[2025-09-18 14:14:06,353][contrast_train.py][line:330][INFO] Epoch [040/200] Train Loss: 1.3670 (CE 0.9629, Con 0.2557, RegionCon 3.7852, Reg 0.000000) | Train Acc: 0.7008 | Test Acc: 0.6576 | LR: 0.000250
[2025-09-18 14:17:52,456][contrast_train.py][line:330][INFO] Epoch [041/200] Train Loss: 1.3010 (CE 0.9007, Con 0.2217, RegionCon 3.7818, Reg 0.000000) | Train Acc: 0.7213 | Test Acc: 0.6989 | LR: 0.000250
[2025-09-18 14:21:37,539][contrast_train.py][line:330][INFO] Epoch [042/200] Train Loss: 1.2869 (CE 0.8880, Con 0.2082, RegionCon 3.7811, Reg 0.000000) | Train Acc: 0.7269 | Test Acc: 0.7139 | LR: 0.000250
[2025-09-18 14:25:23,920][contrast_train.py][line:330][INFO] Epoch [043/200] Train Loss: 1.2693 (CE 0.8711, Con 0.1989, RegionCon 3.7836, Reg 0.000000) | Train Acc: 0.7261 | Test Acc: 0.6746 | LR: 0.000250
[2025-09-18 14:29:10,037][contrast_train.py][line:330][INFO] Epoch [044/200] Train Loss: 1.2703 (CE 0.8723, Con 0.1973, RegionCon 3.7820, Reg 0.000000) | Train Acc: 0.7349 | Test Acc: 0.6957 | LR: 0.000250
[2025-09-18 14:32:55,896][contrast_train.py][line:330][INFO] Epoch [045/200] Train Loss: 1.2753 (CE 0.8772, Con 0.1991, RegionCon 3.7828, Reg 0.000000) | Train Acc: 0.7233 | Test Acc: 0.6929 | LR: 0.000250
[2025-09-18 14:36:42,173][contrast_train.py][line:330][INFO] Epoch [046/200] Train Loss: 1.2542 (CE 0.8560, Con 0.1977, RegionCon 3.7841, Reg 0.000000) | Train Acc: 0.7249 | Test Acc: 0.6811 | LR: 0.000250
[2025-09-18 14:40:29,067][contrast_train.py][line:330][INFO] Epoch [047/200] Train Loss: 1.2361 (CE 0.8389, Con 0.1944, RegionCon 3.7776, Reg 0.000000) | Train Acc: 0.7360 | Test Acc: 0.7026 | LR: 0.000250
[2025-09-18 14:44:16,428][contrast_train.py][line:330][INFO] Epoch [048/200] Train Loss: 1.2591 (CE 0.8617, Con 0.1934, RegionCon 3.7814, Reg 0.000000) | Train Acc: 0.7253 | Test Acc: 0.6669 | LR: 0.000250
[2025-09-18 14:48:03,248][contrast_train.py][line:330][INFO] Epoch [049/200] Train Loss: 1.2365 (CE 0.8408, Con 0.1895, RegionCon 3.7673, Reg 0.000000) | Train Acc: 0.7350 | Test Acc: 0.6844 | LR: 0.000250
[2025-09-18 14:51:48,764][contrast_train.py][line:330][INFO] Epoch [050/200] Train Loss: 1.2342 (CE 0.8375, Con 0.1874, RegionCon 3.7802, Reg 0.000000) | Train Acc: 0.7407 | Test Acc: 0.6949 | LR: 0.000250
[2025-09-18 14:55:34,408][contrast_train.py][line:330][INFO] Epoch [051/200] Train Loss: 1.2392 (CE 0.8419, Con 0.1941, RegionCon 3.7786, Reg 0.000000) | Train Acc: 0.7374 | Test Acc: 0.6953 | LR: 0.000250
[2025-09-18 14:59:19,638][contrast_train.py][line:330][INFO] Epoch [052/200] Train Loss: 1.2233 (CE 0.8268, Con 0.1922, RegionCon 3.7723, Reg 0.000000) | Train Acc: 0.7408 | Test Acc: 0.7224 | LR: 0.000250
[2025-09-18 15:03:11,168][contrast_train.py][line:330][INFO] Epoch [053/200] Train Loss: 1.2313 (CE 0.8343, Con 0.1908, RegionCon 3.7792, Reg 0.000000) | Train Acc: 0.7416 | Test Acc: 0.7087 | LR: 0.000250
[2025-09-18 15:06:57,500][contrast_train.py][line:330][INFO] Epoch [054/200] Train Loss: 1.2275 (CE 0.8303, Con 0.1914, RegionCon 3.7802, Reg 0.000000) | Train Acc: 0.7366 | Test Acc: 0.6917 | LR: 0.000250
[2025-09-18 15:10:43,659][contrast_train.py][line:330][INFO] Epoch [055/200] Train Loss: 1.2193 (CE 0.8229, Con 0.1869, RegionCon 3.7763, Reg 0.000000) | Train Acc: 0.7413 | Test Acc: 0.7176 | LR: 0.000250
[2025-09-18 15:14:29,178][contrast_train.py][line:330][INFO] Epoch [056/200] Train Loss: 1.2076 (CE 0.8115, Con 0.1868, RegionCon 3.7744, Reg 0.000000) | Train Acc: 0.7425 | Test Acc: 0.7115 | LR: 0.000250
[2025-09-18 15:18:14,551][contrast_train.py][line:330][INFO] Epoch [057/200] Train Loss: 1.2037 (CE 0.8086, Con 0.1812, RegionCon 3.7694, Reg 0.000000) | Train Acc: 0.7445 | Test Acc: 0.7241 | LR: 0.000250
[2025-09-18 15:22:00,821][contrast_train.py][line:330][INFO] Epoch [058/200] Train Loss: 1.1965 (CE 0.8020, Con 0.1738, RegionCon 3.7714, Reg 0.000000) | Train Acc: 0.7496 | Test Acc: 0.7103 | LR: 0.000250
[2025-09-18 15:25:46,616][contrast_train.py][line:330][INFO] Epoch [059/200] Train Loss: 1.1837 (CE 0.7882, Con 0.1804, RegionCon 3.7738, Reg 0.000000) | Train Acc: 0.7513 | Test Acc: 0.7087 | LR: 0.000250
[2025-09-18 15:29:32,125][contrast_train.py][line:330][INFO] Epoch [060/200] Train Loss: 1.1838 (CE 0.7897, Con 0.1740, RegionCon 3.7665, Reg 0.000000) | Train Acc: 0.7540 | Test Acc: 0.7030 | LR: 0.000125
[2025-09-18 15:33:17,437][contrast_train.py][line:330][INFO] Epoch [061/200] Train Loss: 1.1687 (CE 0.7759, Con 0.1651, RegionCon 3.7623, Reg 0.000000) | Train Acc: 0.7529 | Test Acc: 0.7285 | LR: 0.000125
[2025-09-18 15:37:03,929][contrast_train.py][line:330][INFO] Epoch [062/200] Train Loss: 1.1695 (CE 0.7767, Con 0.1568, RegionCon 3.7715, Reg 0.000000) | Train Acc: 0.7560 | Test Acc: 0.7099 | LR: 0.000125
[2025-09-18 15:40:49,543][contrast_train.py][line:330][INFO] Epoch [063/200] Train Loss: 1.1538 (CE 0.7601, Con 0.1573, RegionCon 3.7799, Reg 0.000000) | Train Acc: 0.7611 | Test Acc: 0.7322 | LR: 0.000125
[2025-09-18 15:44:34,815][contrast_train.py][line:330][INFO] Epoch [064/200] Train Loss: 1.1504 (CE 0.7577, Con 0.1580, RegionCon 3.7689, Reg 0.000000) | Train Acc: 0.7629 | Test Acc: 0.7366 | LR: 0.000125
[2025-09-18 15:48:21,403][contrast_train.py][line:330][INFO] Epoch [065/200] Train Loss: 1.1401 (CE 0.7461, Con 0.1617, RegionCon 3.7783, Reg 0.000000) | Train Acc: 0.7625 | Test Acc: 0.7285 | LR: 0.000125
[2025-09-18 15:52:06,748][contrast_train.py][line:330][INFO] Epoch [066/200] Train Loss: 1.1477 (CE 0.7548, Con 0.1538, RegionCon 3.7751, Reg 0.000000) | Train Acc: 0.7673 | Test Acc: 0.7216 | LR: 0.000125
[2025-09-18 15:55:52,467][contrast_train.py][line:330][INFO] Epoch [067/200] Train Loss: 1.1418 (CE 0.7487, Con 0.1551, RegionCon 3.7761, Reg 0.000000) | Train Acc: 0.7611 | Test Acc: 0.7208 | LR: 0.000125
[2025-09-18 15:59:38,973][contrast_train.py][line:330][INFO] Epoch [068/200] Train Loss: 1.1297 (CE 0.7367, Con 0.1584, RegionCon 3.7708, Reg 0.000000) | Train Acc: 0.7631 | Test Acc: 0.7297 | LR: 0.000125
[2025-09-18 16:03:25,013][contrast_train.py][line:330][INFO] Epoch [069/200] Train Loss: 1.1396 (CE 0.7471, Con 0.1566, RegionCon 3.7685, Reg 0.000000) | Train Acc: 0.7641 | Test Acc: 0.7115 | LR: 0.000125
[2025-09-18 16:07:14,408][contrast_train.py][line:330][INFO] Epoch [070/200] Train Loss: 1.1378 (CE 0.7454, Con 0.1523, RegionCon 3.7717, Reg 0.000000) | Train Acc: 0.7615 | Test Acc: 0.7139 | LR: 0.000125
[2025-09-18 16:11:00,859][contrast_train.py][line:330][INFO] Epoch [071/200] Train Loss: 1.1414 (CE 0.7492, Con 0.1580, RegionCon 3.7639, Reg 0.000000) | Train Acc: 0.7613 | Test Acc: 0.7277 | LR: 0.000125
[2025-09-18 16:14:46,647][contrast_train.py][line:330][INFO] Epoch [072/200] Train Loss: 1.1222 (CE 0.7294, Con 0.1586, RegionCon 3.7702, Reg 0.000000) | Train Acc: 0.7678 | Test Acc: 0.7188 | LR: 0.000125
[2025-09-18 16:18:32,145][contrast_train.py][line:330][INFO] Epoch [073/200] Train Loss: 1.1247 (CE 0.7322, Con 0.1522, RegionCon 3.7722, Reg 0.000000) | Train Acc: 0.7681 | Test Acc: 0.7245 | LR: 0.000125
[2025-09-18 16:22:17,666][contrast_train.py][line:330][INFO] Epoch [074/200] Train Loss: 1.1239 (CE 0.7314, Con 0.1607, RegionCon 3.7638, Reg 0.000000) | Train Acc: 0.7671 | Test Acc: 0.7374 | LR: 0.000125
[2025-09-18 16:26:03,145][contrast_train.py][line:330][INFO] Epoch [075/200] Train Loss: 1.1117 (CE 0.7195, Con 0.1460, RegionCon 3.7760, Reg 0.000000) | Train Acc: 0.7715 | Test Acc: 0.7071 | LR: 0.000125
[2025-09-18 16:29:48,803][contrast_train.py][line:330][INFO] Epoch [076/200] Train Loss: 1.1146 (CE 0.7226, Con 0.1474, RegionCon 3.7730, Reg 0.000000) | Train Acc: 0.7703 | Test Acc: 0.7269 | LR: 0.000125
[2025-09-18 16:33:34,698][contrast_train.py][line:330][INFO] Epoch [077/200] Train Loss: 1.1188 (CE 0.7268, Con 0.1574, RegionCon 3.7629, Reg 0.000000) | Train Acc: 0.7743 | Test Acc: 0.7366 | LR: 0.000125
[2025-09-18 16:37:21,379][contrast_train.py][line:330][INFO] Epoch [078/200] Train Loss: 1.1141 (CE 0.7219, Con 0.1508, RegionCon 3.7705, Reg 0.000000) | Train Acc: 0.7731 | Test Acc: 0.7184 | LR: 0.000125
[2025-09-18 16:41:08,383][contrast_train.py][line:330][INFO] Epoch [079/200] Train Loss: 1.1141 (CE 0.7221, Con 0.1478, RegionCon 3.7722, Reg 0.000000) | Train Acc: 0.7675 | Test Acc: 0.7306 | LR: 0.000125
[2025-09-18 16:44:54,823][contrast_train.py][line:330][INFO] Epoch [080/200] Train Loss: 1.1139 (CE 0.7229, Con 0.1435, RegionCon 3.7662, Reg 0.000000) | Train Acc: 0.7675 | Test Acc: 0.7237 | LR: 0.000063
[2025-09-18 16:48:41,438][contrast_train.py][line:330][INFO] Epoch [081/200] Train Loss: 1.1012 (CE 0.7105, Con 0.1420, RegionCon 3.7647, Reg 0.000000) | Train Acc: 0.7789 | Test Acc: 0.7257 | LR: 0.000063
[2025-09-18 16:52:29,681][contrast_train.py][line:330][INFO] Epoch [082/200] Train Loss: 1.0879 (CE 0.6971, Con 0.1383, RegionCon 3.7700, Reg 0.000000) | Train Acc: 0.7764 | Test Acc: 0.7334 | LR: 0.000063
[2025-09-18 16:56:16,106][contrast_train.py][line:330][INFO] Epoch [083/200] Train Loss: 1.0909 (CE 0.6998, Con 0.1402, RegionCon 3.7713, Reg 0.000000) | Train Acc: 0.7759 | Test Acc: 0.7419 | LR: 0.000063
[2025-09-18 17:00:03,295][contrast_train.py][line:330][INFO] Epoch [084/200] Train Loss: 1.0901 (CE 0.6994, Con 0.1362, RegionCon 3.7709, Reg 0.000000) | Train Acc: 0.7710 | Test Acc: 0.7524 | LR: 0.000063
[2025-09-18 17:03:49,397][contrast_train.py][line:330][INFO] Epoch [085/200] Train Loss: 1.0865 (CE 0.6967, Con 0.1375, RegionCon 3.7611, Reg 0.000000) | Train Acc: 0.7803 | Test Acc: 0.7354 | LR: 0.000063
[2025-09-18 17:07:34,855][contrast_train.py][line:330][INFO] Epoch [086/200] Train Loss: 1.0925 (CE 0.7008, Con 0.1373, RegionCon 3.7792, Reg 0.000000) | Train Acc: 0.7799 | Test Acc: 0.7472 | LR: 0.000063
[2025-09-18 17:11:20,744][contrast_train.py][line:330][INFO] Epoch [087/200] Train Loss: 1.0859 (CE 0.6950, Con 0.1451, RegionCon 3.7638, Reg 0.000000) | Train Acc: 0.7760 | Test Acc: 0.7382 | LR: 0.000063
