[2025-09-22 13:29:59,434][contrast_train.py][line:239][INFO] Arguments: Namespace(batchSize=32, dataset='/data/cjj/projects/pointnet.pytorch/data/modelnet40_ply_hdf5_2048', exp_name='GroupContrastWithFeatureTransform', feature_transform=True, gamma=0.5, gpu_id='1', graphcut_c=0.5, graphcut_k=8, graphcut_min_size=20, lambda_con=0.1, lambda_region=0.1, lr=0.001, nepoch=200, no_jitter=False, npoints=1024, rotation_mode='xyz', save_dir='/data/cjj/projects/pointnet.pytorch/Contrast_exp/experiment', seed=42, step_size=20, temperature=0.07, use_cpu=False, use_graphcut_segmentation=True, use_region_contrast=True, workers=4)
[2025-09-22 13:29:59,435][contrast_train.py][line:240][INFO] model params: 3.766769 M
[2025-09-22 13:29:59,435][contrast_train.py][line:241][INFO] Network Structure: ContrastPointNet(
  (feat): PointNetfeat(
    (stn): STN3d(
      (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=9, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fstn): STNkd(
      (conv1): Conv1d(64, 64, kernel_size=(1,), stride=(1,))
      (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
      (conv3): Conv1d(128, 1024, kernel_size=(1,), stride=(1,))
      (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn3): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (fc1): Linear(in_features=1024, out_features=512, bias=True)
      (fc2): Linear(in_features=512, out_features=256, bias=True)
      (fc3): Linear(in_features=256, out_features=4096, bias=True)
      (bn4): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (bn5): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (fc1): Linear(in_features=1024, out_features=512, bias=True)
  (fc2): Linear(in_features=512, out_features=256, bias=True)
  (fc3): Linear(in_features=256, out_features=40, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dropout): Dropout(p=0.3, inplace=False)
  (proj): ProjectionHead(
    (net): Sequential(
      (0): Linear(in_features=1024, out_features=256, bias=True)
      (1): ReLU(inplace=True)
      (2): Linear(in_features=256, out_features=128, bias=True)
    )
  )
)
[2025-09-22 13:33:52,064][contrast_train.py][line:330][INFO] Epoch [001/200] Train Loss: 3.8079 (CE 3.0581, Con 2.7856, RegionCon 4.1282, Reg 0.058428) | Train Acc: 0.1811 | Test Acc: 0.2338 | LR: 0.001000
[2025-09-22 16:29:59,220][contrast_train.py][line:330][INFO] Epoch [047/200] Train Loss: 1.0609 (CE 0.7036, Con 0.1351, RegionCon 3.3218, Reg 0.011563) | Train Acc: 0.7790 | Test Acc: 0.7731 | LR: 0.000250
[2025-09-22 16:33:47,777][contrast_train.py][line:330][INFO] Epoch [048/200] Train Loss: 1.0654 (CE 0.7073, Con 0.1440, RegionCon 3.3189, Reg 0.011777) | Train Acc: 0.7771 | Test Acc: 0.7808 | LR: 0.000250
[2025-09-22 16:37:35,927][contrast_train.py][line:330][INFO] Epoch [049/200] Train Loss: 1.0474 (CE 0.6907, Con 0.1398, RegionCon 3.3154, Reg 0.011152) | Train Acc: 0.7781 | Test Acc: 0.7792 | LR: 0.000250
[2025-09-22 16:41:24,780][contrast_train.py][line:330][INFO] Epoch [050/200] Train Loss: 1.0529 (CE 0.6962, Con 0.1384, RegionCon 3.3160, Reg 0.011246) | Train Acc: 0.7750 | Test Acc: 0.7853 | LR: 0.000250
[2025-09-22 16:45:14,081][contrast_train.py][line:330][INFO] Epoch [051/200] Train Loss: 1.0498 (CE 0.6925, Con 0.1389, RegionCon 3.3215, Reg 0.011259) | Train Acc: 0.7786 | Test Acc: 0.7796 | LR: 0.000250
[2025-09-22 16:49:02,932][contrast_train.py][line:330][INFO] Epoch [052/200] Train Loss: 1.0256 (CE 0.6709, Con 0.1383, RegionCon 3.2949, Reg 0.011391) | Train Acc: 0.7833 | Test Acc: 0.7759 | LR: 0.000250
[2025-09-22 16:52:52,037][contrast_train.py][line:330][INFO] Epoch [053/200] Train Loss: 1.0268 (CE 0.6710, Con 0.1322, RegionCon 3.3166, Reg 0.010934) | Train Acc: 0.7853 | Test Acc: 0.7747 | LR: 0.000250
[2025-09-22 16:56:40,420][contrast_train.py][line:330][INFO] Epoch [054/200] Train Loss: 1.0290 (CE 0.6742, Con 0.1232, RegionCon 3.3153, Reg 0.010960) | Train Acc: 0.7890 | Test Acc: 0.7800 | LR: 0.000250
[2025-09-22 17:00:28,012][contrast_train.py][line:330][INFO] Epoch [055/200] Train Loss: 1.0298 (CE 0.6734, Con 0.1433, RegionCon 3.3082, Reg 0.011258) | Train Acc: 0.7872 | Test Acc: 0.7869 | LR: 0.000250
[2025-09-22 17:04:16,705][contrast_train.py][line:330][INFO] Epoch [056/200] Train Loss: 1.0099 (CE 0.6528, Con 0.1332, RegionCon 3.3262, Reg 0.011149) | Train Acc: 0.7960 | Test Acc: 0.7929 | LR: 0.000250
[2025-09-22 17:08:05,182][contrast_train.py][line:330][INFO] Epoch [057/200] Train Loss: 1.0115 (CE 0.6569, Con 0.1351, RegionCon 3.3001, Reg 0.011057) | Train Acc: 0.7942 | Test Acc: 0.7836 | LR: 0.000250
[2025-09-22 17:11:52,716][contrast_train.py][line:330][INFO] Epoch [058/200] Train Loss: 1.0062 (CE 0.6513, Con 0.1245, RegionCon 3.3177, Reg 0.010613) | Train Acc: 0.7929 | Test Acc: 0.7897 | LR: 0.000250
[2025-09-22 17:15:41,380][contrast_train.py][line:330][INFO] Epoch [059/200] Train Loss: 1.0013 (CE 0.6486, Con 0.1225, RegionCon 3.2973, Reg 0.010766) | Train Acc: 0.7889 | Test Acc: 0.7694 | LR: 0.000250
[2025-09-22 17:19:29,203][contrast_train.py][line:330][INFO] Epoch [060/200] Train Loss: 0.9888 (CE 0.6347, Con 0.1315, RegionCon 3.3046, Reg 0.010453) | Train Acc: 0.8006 | Test Acc: 0.7767 | LR: 0.000125
[2025-09-22 17:23:16,814][contrast_train.py][line:330][INFO] Epoch [061/200] Train Loss: 0.9652 (CE 0.6127, Con 0.1080, RegionCon 3.3149, Reg 0.010211) | Train Acc: 0.8044 | Test Acc: 0.7950 | LR: 0.000125
[2025-09-22 17:27:04,828][contrast_train.py][line:330][INFO] Epoch [062/200] Train Loss: 0.9492 (CE 0.5971, Con 0.1069, RegionCon 3.3115, Reg 0.010263) | Train Acc: 0.8092 | Test Acc: 0.8051 | LR: 0.000125
[2025-09-22 17:30:53,294][contrast_train.py][line:330][INFO] Epoch [063/200] Train Loss: 0.9449 (CE 0.5945, Con 0.1092, RegionCon 3.2956, Reg 0.009933) | Train Acc: 0.8066 | Test Acc: 0.7990 | LR: 0.000125
[2025-09-22 17:34:42,374][contrast_train.py][line:330][INFO] Epoch [064/200] Train Loss: 0.9355 (CE 0.5845, Con 0.1146, RegionCon 3.2936, Reg 0.010155) | Train Acc: 0.8114 | Test Acc: 0.7925 | LR: 0.000125
[2025-09-22 17:38:33,267][contrast_train.py][line:330][INFO] Epoch [065/200] Train Loss: 0.9320 (CE 0.5818, Con 0.1057, RegionCon 3.2968, Reg 0.009954) | Train Acc: 0.8167 | Test Acc: 0.8031 | LR: 0.000125
[2025-09-22 17:42:24,196][contrast_train.py][line:330][INFO] Epoch [066/200] Train Loss: 0.9359 (CE 0.5852, Con 0.1117, RegionCon 3.2971, Reg 0.009834) | Train Acc: 0.8100 | Test Acc: 0.8063 | LR: 0.000125
[2025-09-22 17:46:14,061][contrast_train.py][line:330][INFO] Epoch [067/200] Train Loss: 0.9324 (CE 0.5825, Con 0.1072, RegionCon 3.2983, Reg 0.009437) | Train Acc: 0.8146 | Test Acc: 0.8047 | LR: 0.000125
[2025-09-22 17:50:03,726][contrast_train.py][line:330][INFO] Epoch [068/200] Train Loss: 0.9271 (CE 0.5791, Con 0.1048, RegionCon 3.2800, Reg 0.009577) | Train Acc: 0.8122 | Test Acc: 0.7974 | LR: 0.000125
[2025-09-22 17:53:56,016][contrast_train.py][line:330][INFO] Epoch [069/200] Train Loss: 0.9231 (CE 0.5738, Con 0.1013, RegionCon 3.2968, Reg 0.009487) | Train Acc: 0.8118 | Test Acc: 0.8039 | LR: 0.000125
[2025-09-22 17:57:47,455][contrast_train.py][line:330][INFO] Epoch [070/200] Train Loss: 0.9274 (CE 0.5789, Con 0.1078, RegionCon 3.2828, Reg 0.009459) | Train Acc: 0.8123 | Test Acc: 0.8083 | LR: 0.000125
[2025-09-22 18:01:40,511][contrast_train.py][line:330][INFO] Epoch [071/200] Train Loss: 0.9154 (CE 0.5668, Con 0.0926, RegionCon 3.3006, Reg 0.009287) | Train Acc: 0.8168 | Test Acc: 0.8039 | LR: 0.000125
[2025-09-22 18:05:31,441][contrast_train.py][line:330][INFO] Epoch [072/200] Train Loss: 0.9249 (CE 0.5749, Con 0.1068, RegionCon 3.2979, Reg 0.009538) | Train Acc: 0.8129 | Test Acc: 0.8035 | LR: 0.000125
[2025-09-22 18:09:22,269][contrast_train.py][line:330][INFO] Epoch [073/200] Train Loss: 0.9141 (CE 0.5656, Con 0.1059, RegionCon 3.2877, Reg 0.009139) | Train Acc: 0.8167 | Test Acc: 0.8011 | LR: 0.000125
[2025-09-22 18:13:14,241][contrast_train.py][line:330][INFO] Epoch [074/200] Train Loss: 0.9078 (CE 0.5587, Con 0.1030, RegionCon 3.2947, Reg 0.009343) | Train Acc: 0.8192 | Test Acc: 0.7982 | LR: 0.000125
[2025-09-22 18:17:05,907][contrast_train.py][line:330][INFO] Epoch [075/200] Train Loss: 0.9119 (CE 0.5623, Con 0.1060, RegionCon 3.2972, Reg 0.009364) | Train Acc: 0.8224 | Test Acc: 0.8088 | LR: 0.000125
[2025-09-22 18:20:57,358][contrast_train.py][line:330][INFO] Epoch [076/200] Train Loss: 0.9030 (CE 0.5554, Con 0.1000, RegionCon 3.2833, Reg 0.009243) | Train Acc: 0.8198 | Test Acc: 0.8108 | LR: 0.000125
[2025-09-22 18:24:49,540][contrast_train.py][line:330][INFO] Epoch [077/200] Train Loss: 0.9175 (CE 0.5697, Con 0.1007, RegionCon 3.2859, Reg 0.009166) | Train Acc: 0.8197 | Test Acc: 0.8132 | LR: 0.000125
[2025-09-22 18:28:42,847][contrast_train.py][line:330][INFO] Epoch [078/200] Train Loss: 0.8993 (CE 0.5507, Con 0.1092, RegionCon 3.2858, Reg 0.009116) | Train Acc: 0.8242 | Test Acc: 0.8043 | LR: 0.000125
[2025-09-22 18:32:34,208][contrast_train.py][line:330][INFO] Epoch [079/200] Train Loss: 0.9038 (CE 0.5564, Con 0.0929, RegionCon 3.2886, Reg 0.009175) | Train Acc: 0.8213 | Test Acc: 0.7934 | LR: 0.000125
[2025-09-22 18:36:25,094][contrast_train.py][line:330][INFO] Epoch [080/200] Train Loss: 0.8909 (CE 0.5422, Con 0.1039, RegionCon 3.2909, Reg 0.009195) | Train Acc: 0.8206 | Test Acc: 0.8027 | LR: 0.000063
